对比对象,BiLSTM_R²提升,BiLSTM_RMSE降低率,BiLSTM_MAE降低率,说明
随机森林(RF),0.07607529763377119,0.23756161101059772,0.24218655683024004,正值表示Bi-LSTM优于该对比模型；负值表示Bi-LSTM未优于该对比模型。
LSTM,0.04744942268490193,0.1693243814443635,0.1536696670952904,正值表示Bi-LSTM优于该对比模型；负值表示Bi-LSTM未优于该对比模型。
