loss,mae,val_loss,val_mae,learning_rate
0.5812732577323914,0.775201141834259,0.44515126943588257,0.7381136417388916,0.0007999999797903001
0.5106056928634644,0.668813169002533,0.388600617647171,0.6285156607627869,0.0007999999797903001
0.4418579041957855,0.5673655271530151,0.3388277590274811,0.5305913686752319,0.0007999999797903001
0.3841905891895294,0.4825141131877899,0.30883729457855225,0.4764290153980255,0.0007999999797903001
0.3638787269592285,0.45904070138931274,0.28325608372688293,0.4283098578453064,0.0007999999797903001
0.3098110854625702,0.37843576073646545,0.27112454175949097,0.4054979383945465,0.0007999999797903001
0.3105742633342743,0.3792174756526947,0.2560290992259979,0.3785395622253418,0.0007999999797903001
0.2822374105453491,0.34184661507606506,0.23972629010677338,0.3477751910686493,0.0007999999797903001
0.2920742332935333,0.3533245623111725,0.23905973136425018,0.3493841886520386,0.0007999999797903001
0.2803340256214142,0.3390147387981415,0.2558382451534271,0.38690438866615295,0.0007999999797903001
0.27993902564048767,0.3393547832965851,0.26107725501060486,0.40190377831459045,0.0007999999797903001
0.2754225730895996,0.33435386419296265,0.2453281432390213,0.37122753262519836,0.0007999999797903001
0.2705472409725189,0.3328494727611542,0.2498617321252823,0.383201003074646,0.0007999999797903001
0.25939637422561646,0.3164574205875397,0.24566598236560822,0.3787274956703186,0.0007999999797903001
0.2843499779701233,0.35561037063598633,0.2383114993572235,0.36604043841362,0.0007999999797903001
0.27098312973976135,0.3383823037147522,0.24246063828468323,0.37687575817108154,0.0007999999797903001
0.25641730427742004,0.31792137026786804,0.2367347776889801,0.3653634786605835,0.0007999999797903001
0.2519126236438751,0.3137741684913635,0.2228967398405075,0.33823221921920776,0.0007999999797903001
0.25569844245910645,0.3214902877807617,0.22139403223991394,0.33823642134666443,0.0007999999797903001
0.24693749845027924,0.3090079724788666,0.2233496606349945,0.34309184551239014,0.0007999999797903001
0.2260333001613617,0.27750155329704285,0.2207009494304657,0.3401745557785034,0.0007999999797903001
0.2524007558822632,0.31883904337882996,0.21408140659332275,0.3301474153995514,0.0007999999797903001
0.2556385397911072,0.32428938150405884,0.21128493547439575,0.3243839740753174,0.0007999999797903001
0.22851000726222992,0.2848843038082123,0.21504320204257965,0.3344477117061615,0.0007999999797903001
0.2230694442987442,0.2762886583805084,0.22518782317638397,0.3595910668373108,0.0007999999797903001
0.24178776144981384,0.3061618208885193,0.22302238643169403,0.35660481452941895,0.0007999999797903001
0.22252438962459564,0.2789592742919922,0.21387040615081787,0.3383142948150635,0.0007999999797903001
0.2248069941997528,0.2846725285053253,0.20260365307331085,0.31460219621658325,0.0007999999797903001
0.227169930934906,0.2871595025062561,0.20432069897651672,0.32025146484375,0.0007999999797903001
0.21939291059970856,0.27602702379226685,0.20404429733753204,0.32121068239212036,0.0007999999797903001
0.23034964501857758,0.29628127813339233,0.21401537954807281,0.3458482325077057,0.0007999999797903001
0.22541823983192444,0.2897145748138428,0.21072761714458466,0.3391593396663666,0.0007999999797903001
0.22655026614665985,0.2954322099685669,0.19856266677379608,0.31467264890670776,0.0007999999797903001
0.20602332055568695,0.2624180018901825,0.19905494153499603,0.31807762384414673,0.0007999999797903001
0.1939072459936142,0.2433195263147354,0.19387604296207428,0.3078262507915497,0.0007999999797903001
0.21283356845378876,0.272197961807251,0.19387683272361755,0.3082573413848877,0.0007999999797903001
0.22854594886302948,0.2982976734638214,0.19084884226322174,0.3026183247566223,0.0007999999797903001
0.21955245733261108,0.28821372985839844,0.18603265285491943,0.29410624504089355,0.0007999999797903001
0.1969636082649231,0.25194641947746277,0.19155056774616241,0.30808523297309875,0.0007999999797903001
0.19395849108695984,0.25065645575523376,0.20305243134498596,0.334480881690979,0.0007999999797903001
0.1897839903831482,0.24230501055717468,0.20456275343894958,0.33839714527130127,0.0007999999797903001
0.19765132665634155,0.25759193301200867,0.19434981048107147,0.3174717426300049,0.0007999999797903001
0.19536687433719635,0.2504674792289734,0.20195959508419037,0.33499982953071594,0.0007999999797903001
0.1910334676504135,0.24577276408672333,0.19323483109474182,0.31822627782821655,0.0007999999797903001
0.18287773430347443,0.2345554530620575,0.19378943741321564,0.32134780287742615,0.0007999999797903001
0.19984552264213562,0.2581585943698883,0.19159233570098877,0.31631532311439514,0.0007999999797903001
0.18668897449970245,0.24170540273189545,0.19060860574245453,0.3147725760936737,0.0007999999797903001
0.20031064748764038,0.26310300827026367,0.19011959433555603,0.317137748003006,0.0007999999797903001
0.19461902976036072,0.25729668140411377,0.18912258744239807,0.31613215804100037,0.0007999999797903001
0.19590160250663757,0.2603035569190979,0.1880718171596527,0.31445515155792236,0.0007999999797903001
0.2007630467414856,0.2671140134334564,0.18380671739578247,0.3058113157749176,0.0007999999797903001
0.19314368069171906,0.2563849687576294,0.18120425939559937,0.30158358812332153,0.0007999999797903001
0.18103517591953278,0.23626257479190826,0.18301698565483093,0.3044857382774353,0.0007999999797903001
0.18188947439193726,0.23823513090610504,0.1894015669822693,0.31937745213508606,0.0007999999797903001
0.1825549602508545,0.23921720683574677,0.19510966539382935,0.33379241824150085,0.0007999999797903001
0.19210241734981537,0.2574520409107208,0.18520399928092957,0.31355640292167664,0.0007999999797903001
0.19401158392429352,0.26096948981285095,0.1860692948102951,0.31394168734550476,0.0007999999797903001
0.18066255748271942,0.23749829828739166,0.18289314210414886,0.30951911211013794,0.0007999999797903001
0.19551968574523926,0.26065608859062195,0.1850598305463791,0.31318309903144836,0.0007999999797903001
0.19169306755065918,0.25628459453582764,0.18137845396995544,0.30616140365600586,0.0007999999797903001
0.18745392560958862,0.251420795917511,0.18173299729824066,0.3084302842617035,0.0007999999797903001
0.16666851937770844,0.22165605425834656,0.18785828351974487,0.32361796498298645,0.0007999999797903001
0.17652340233325958,0.23659811913967133,0.18177929520606995,0.3098442554473877,0.0007999999797903001
0.17869408428668976,0.2410585582256317,0.1819162368774414,0.31169241666793823,0.0007999999797903001
0.16570913791656494,0.22289809584617615,0.1827034056186676,0.3132021427154541,0.0007999999797903001
0.18326152861118317,0.25031042098999023,0.1800961047410965,0.3083139657974243,0.0007999999797903001
0.19888882339000702,0.27345243096351624,0.17875434458255768,0.3076478838920593,0.0007999999797903001
0.18180334568023682,0.24741995334625244,0.17410659790039062,0.29811611771583557,0.0007999999797903001
0.18840529024600983,0.25723573565483093,0.17508944869041443,0.30024370551109314,0.0007999999797903001
0.17758911848068237,0.24152134358882904,0.17420080304145813,0.29994329810142517,0.0007999999797903001
0.17760661244392395,0.24128614366054535,0.1755845546722412,0.3026663064956665,0.0007999999797903001
0.17979440093040466,0.2466515451669693,0.17638465762138367,0.3053952753543854,0.0007999999797903001
0.17654681205749512,0.23947902023792267,0.17884694039821625,0.31120872497558594,0.0007999999797903001
0.15827181935310364,0.21187470853328705,0.17142169177532196,0.2961145043373108,0.0007999999797903001
0.19062542915344238,0.2614029049873352,0.1705542355775833,0.2951997220516205,0.0007999999797903001
0.17679594457149506,0.2414254993200302,0.17220832407474518,0.300237238407135,0.0007999999797903001
0.1830907016992569,0.2526126801967621,0.17968465387821198,0.31740516424179077,0.0007999999797903001
0.1741127073764801,0.23660118877887726,0.1790652722120285,0.3178616762161255,0.0007999999797903001
0.16923920810222626,0.23165853321552277,0.18750734627246857,0.33631810545921326,0.0007999999797903001
0.17487972974777222,0.24007104337215424,0.1848142445087433,0.33059534430503845,0.0007999999797903001
0.1759435087442398,0.24379676580429077,0.17737732827663422,0.3156868517398834,0.0007999999797903001
0.1728273332118988,0.23529696464538574,0.17577438056468964,0.3094675540924072,0.0007999999797903001
0.15938958525657654,0.21764801442623138,0.1800336241722107,0.3198791444301605,0.0007999999797903001
0.17185285687446594,0.23851564526557922,0.18382976949214935,0.329938143491745,0.0007999999797903001
0.16354900598526,0.22598260641098022,0.1882915496826172,0.3388846218585968,0.0007999999797903001
0.1673116534948349,0.23462344706058502,0.18486236035823822,0.333668053150177,0.0007999999797903001
0.15996380150318146,0.22231964766979218,0.1843382865190506,0.33256301283836365,0.0007999999797903001
0.16605441272258759,0.23370109498500824,0.1821788102388382,0.32924017310142517,0.0007999999797903001
0.17090848088264465,0.2393876165151596,0.17437928915023804,0.31523796916007996,0.0007999999797903001
0.1526014506816864,0.2130231410264969,0.17137092351913452,0.3087223768234253,0.0007999999797903001
0.15647093951702118,0.217721089720726,0.17678706347942352,0.31846505403518677,0.0007999999797903001
0.1735849827528,0.2454800307750702,0.17610633373260498,0.3172127902507782,0.0007999999797903001
0.15915857255458832,0.22466342151165009,0.17411024868488312,0.3143675625324249,0.0007999999797903001
0.16825711727142334,0.2374921441078186,0.17436429858207703,0.3150362968444824,0.00039999998989515007
0.1553938388824463,0.21514949202537537,0.17319108545780182,0.31280097365379333,0.00039999998989515007
0.16114471852779388,0.22337251901626587,0.17309416830539703,0.31321293115615845,0.00039999998989515007
0.16188891232013702,0.22878395020961761,0.17348186671733856,0.31387221813201904,0.00039999998989515007
0.14514103531837463,0.20309875905513763,0.17468179762363434,0.31702566146850586,0.00039999998989515007
0.15197433531284332,0.21118851006031036,0.17960521578788757,0.3285461366176605,0.00039999998989515007
0.16813455522060394,0.23695823550224304,0.1783880591392517,0.32716915011405945,0.00039999998989515007
0.15544262528419495,0.21855826675891876,0.17682096362113953,0.32344603538513184,0.00039999998989515007
0.1759403795003891,0.24831326305866241,0.17541736364364624,0.3211321234703064,0.00039999998989515007
0.15826572477817535,0.22270414233207703,0.17326530814170837,0.3170309364795685,0.00039999998989515007
0.15846338868141174,0.22403022646903992,0.17100995779037476,0.312274307012558,0.00039999998989515007
0.16595156490802765,0.2348809391260147,0.17058975994586945,0.31181272864341736,0.00039999998989515007
0.1492857038974762,0.20714399218559265,0.17136700451374054,0.3144506812095642,0.00039999998989515007
0.13561400771141052,0.18872275948524475,0.17012134194374084,0.3098556101322174,0.00039999998989515007
0.15760162472724915,0.22233210504055023,0.17040596902370453,0.31022873520851135,0.00039999998989515007
0.16324016451835632,0.23082099854946136,0.17140012979507446,0.3133328855037689,0.00039999998989515007
0.16463381052017212,0.23379889130592346,0.17280864715576172,0.31740447878837585,0.00039999998989515007
0.15571735799312592,0.2224995493888855,0.17428742349147797,0.3205126225948334,0.00039999998989515007
0.1573803722858429,0.22039513289928436,0.1750240921974182,0.32126379013061523,0.00039999998989515007
0.1522742211818695,0.21827498078346252,0.1774492859840393,0.3269914388656616,0.00039999998989515007
0.15085427463054657,0.2136937528848648,0.17704686522483826,0.32813069224357605,0.00039999998989515007
0.1703013777732849,0.24645186960697174,0.17723962664604187,0.3296583890914917,0.00039999998989515007
0.14311957359313965,0.20169967412948608,0.17298711836338043,0.31846192479133606,0.00039999998989515007
0.14648884534835815,0.20533958077430725,0.17097650468349457,0.3138085901737213,0.00039999998989515007
0.16296932101249695,0.23436427116394043,0.1698298156261444,0.3127630949020386,0.00039999998989515007
0.1582166999578476,0.22813619673252106,0.17080387473106384,0.3156546652317047,0.00039999998989515007
0.16932426393032074,0.24100680649280548,0.16855958104133606,0.31050172448158264,0.00039999998989515007
0.16664937138557434,0.2385217845439911,0.16801922023296356,0.30847978591918945,0.00039999998989515007
0.14582203328609467,0.20656448602676392,0.1678105592727661,0.30804210901260376,0.00039999998989515007
0.1576993763446808,0.22484193742275238,0.1677597016096115,0.30843889713287354,0.00039999998989515007
0.14885559678077698,0.20789824426174164,0.16758160293102264,0.30820342898368835,0.00039999998989515007
0.15621915459632874,0.22511285543441772,0.1683868020772934,0.3103298842906952,0.00039999998989515007
0.1371833086013794,0.19283340871334076,0.17022821307182312,0.3148660361766815,0.00039999998989515007
0.14345332980155945,0.20519892871379852,0.17367663979530334,0.32174989581108093,0.00039999998989515007
0.17133699357509613,0.24512681365013123,0.17301273345947266,0.3210867941379547,0.00039999998989515007
0.14638584852218628,0.21025623381137848,0.17471520602703094,0.3269384801387787,0.00039999998989515007
0.1542457938194275,0.21922984719276428,0.17538461089134216,0.328911691904068,0.00039999998989515007
0.15647545456886292,0.22361935675144196,0.17408393323421478,0.3258969485759735,0.00039999998989515007
0.1580493301153183,0.2258254438638687,0.17607730627059937,0.3295690417289734,0.00039999998989515007
0.148854598402977,0.21451789140701294,0.17639769613742828,0.32922595739364624,0.00039999998989515007
0.1755920797586441,0.2536328136920929,0.1742980182170868,0.325457364320755,0.00039999998989515007
0.163129061460495,0.23657287657260895,0.1742403507232666,0.3260762095451355,0.00039999998989515007
0.1324400156736374,0.18958286941051483,0.17401160299777985,0.3265392482280731,0.00039999998989515007
0.14614056050777435,0.20970739424228668,0.1728716641664505,0.32423722743988037,0.00039999998989515007
0.14919425547122955,0.21421486139297485,0.16926275193691254,0.3161296844482422,0.00039999998989515007
0.15623293817043304,0.22607114911079407,0.16691692173480988,0.31038185954093933,0.00039999998989515007
0.15484395623207092,0.22088970243930817,0.1647142469882965,0.30684685707092285,0.00039999998989515007
0.14567020535469055,0.20807187259197235,0.16646713018417358,0.31031742691993713,0.00039999998989515007
0.1463000476360321,0.21038368344306946,0.168804332613945,0.31541943550109863,0.00039999998989515007
0.1517704576253891,0.21598413586616516,0.17009952664375305,0.3185260593891144,0.00039999998989515007
0.16114826500415802,0.2325432300567627,0.1672513633966446,0.3120507597923279,0.00039999998989515007
0.14931754767894745,0.21433843672275543,0.16591939330101013,0.3096458315849304,0.00039999998989515007
0.1471630036830902,0.21137525141239166,0.1675649732351303,0.3143724203109741,0.00039999998989515007
0.1524592936038971,0.21919380128383636,0.16944098472595215,0.3193601965904236,0.00039999998989515007
0.14815948903560638,0.21675969660282135,0.16690242290496826,0.3129784166812897,0.00039999998989515007
0.1506614238023758,0.2169020175933838,0.16637957096099854,0.31045714020729065,0.00039999998989515007
