模型,R²,RMSE,MAE,RAE,nRMSE(%),nMAE(%)
随机森林(RF),0.8183006162121861,0.3755089243289911,0.23960711239011687,0.38478345953614096,5.761834078020323,3.6765475759928132
LSTM,0.8469264911610553,0.34466211950984754,0.2145468309343491,0.3445393211242569,5.288518639452301,3.2920209393632196
Bi-LSTM,0.8943759138459573,0.2863024193165393,0.18157749084831812,0.291594078345855,4.393043492070054,2.7861371775405486
