county,year,真实单产,随机森林(RF)_预测单产,随机森林(RF)_残差,随机森林(RF)_绝对误差,LSTM_预测单产,LSTM_残差,LSTM_绝对误差,Bi-LSTM_预测单产,Bi-LSTM_残差,Bi-LSTM_绝对误差
临湘市,2021,6.556645657430531,6.478143866652606,-0.07850179077792507,0.07850179077792507,6.323209,-0.23343684853160518,0.23343684853160518,6.356987485762158,-0.19965817166837319,0.19965817166837319
武陵区,2016,5.339761336515513,5.537706104946091,0.1979447684305775,0.1979447684305775,5.4885235,0.14876214676085375,0.14876214676085375,5.309427303740115,-0.030334032775398256,0.030334032775398256
松滋市,2021,8.196444549093478,7.913733925728764,-0.2827106233647134,0.2827106233647134,8.00445,-0.1919947047331263,0.1919947047331263,8.224965099338863,0.02852055024538558,0.02852055024538558
华容县,2018,6.329909819639279,6.427374782343765,0.09746496270448635,0.09746496270448635,6.3331423,0.0032324609393343806,0.0032324609393343806,6.378241299219613,0.04833147958033379,0.04833147958033379
岳阳县,2016,5.988519520680325,6.154258170124598,0.16573864944427363,0.16573864944427363,6.2069564,0.21843686588583733,0.21843686588583733,6.135077247655107,0.1465577269747822,0.1465577269747822
岳阳楼区,2013,5.840233236151604,5.822828476246794,-0.017404759904809275,0.017404759904809275,5.857866,0.017632574242683496,0.017632574242683496,5.706938406563892,-0.13329482958771166,0.13329482958771166
安化县,2016,6.03976430976431,6.334734831050141,0.2949705212858307,0.2949705212858307,6.3242173,0.2844530097242153,0.2844530097242153,6.005064014195719,-0.03470029556859089,0.03470029556859089
赫山区,2013,6.448358413132695,6.549746163032709,0.10138774990001398,0.10138774990001398,6.378526,-0.06983220234778287,0.06983220234778287,6.435706995947055,-0.01265141718563978,0.01265141718563978
赫山区,2018,6.653161315162512,6.669114003343688,0.015952688181176455,0.015952688181176455,6.767193,0.1140315254136599,0.1140315254136599,6.711909768685254,0.058748453522741606,0.058748453522741606
沙市区,2021,8.05,7.93333357076409,-0.11666642923591031,0.11666642923591031,7.941216,-0.10878400802612376,0.10878400802612376,8.072261292823791,0.022261292823790413,0.022261292823790413
