county,year,month,NDVI,EVI,LST,GPP,气温,降水,辐射,DEM_Mean,DEM_Std,单产
临湘市,2012,4,0.4946363866329193,0.2649117112159729,25.29790496826172,0.1506553292274475,18.00653839111328,2694.18115234375,8825.8037109375,219.88993464052288,167.57601233995416,5.955323383084577
临湘市,2012,5,0.5877147912979126,0.3644012212753296,28.73604393005371,0.1604770272970199,21.956642150878903,3807.371826171875,8427.9453125,219.88993464052288,167.57601233995416,5.955323383084577
临湘市,2012,6,0.6685265302658081,0.4380351901054382,28.976940155029297,0.1658542305231094,25.71713829040528,1992.660888671875,10066.97265625,219.88993464052288,167.57601233995416,5.955323383084577
临湘市,2012,7,0.7157024145126343,0.4914746582508087,31.068958282470703,0.1659877002239227,29.192089080810547,2331.761474609375,12062.0859375,219.88993464052288,167.57601233995416,5.955323383084577
临湘市,2012,8,0.7059135437011719,0.4649067521095276,29.740083694458008,0.166460707783699,26.97905731201172,2042.459716796875,10241.478515625,219.88993464052288,167.57601233995416,5.955323383084577
临湘市,2012,9,0.6473215818405151,0.3976580202579498,25.918418884277344,0.1621317714452743,22.578685760498047,906.3682250976562,9134.5703125,219.88993464052288,167.57601233995416,5.955323383084577
临湘市,2012,10,0.5237542390823364,0.2936228513717651,21.82098960876465,0.147648423910141,18.47072982788086,1158.6400146484375,7117.337890625,219.88993464052288,167.57601233995416,5.955323383084577
临湘市,2013,4,0.523553729057312,0.3028771877288818,25.95887756347656,0.1518464088439941,17.04952621459961,2266.95703125,9379.537109375,219.88993464052288,167.57601233995416,5.834462151394423
临湘市,2013,5,0.5840522646903992,0.3746691346168518,29.203493118286133,0.1657038629055023,21.927461624145508,2328.460693359375,9616.26953125,219.88993464052288,167.57601233995416,5.834462151394423
临湘市,2013,6,0.6412046551704407,0.4488804936408996,29.442602157592773,0.1677034795284271,25.81018447875977,3914.971923828125,10490.7451171875,219.88993464052288,167.57601233995416,5.834462151394423
临湘市,2013,7,0.668420135974884,0.464638203382492,32.18775177001953,0.1719685494899749,30.34392547607422,549.7372436523438,13202.861328125,219.88993464052288,167.57601233995416,5.834462151394423
临湘市,2013,8,0.6507973074913025,0.4238865673542022,33.53292465209961,0.1607932895421981,30.73314094543457,1197.6337890625,12259.3994140625,219.88993464052288,167.57601233995416,5.834462151394423
临湘市,2013,9,0.6135838627815247,0.3884972929954529,27.708873748779297,0.1660054624080658,23.005699157714844,1375.662841796875,7949.13671875,219.88993464052288,167.57601233995416,5.834462151394423
临湘市,2013,10,0.5337536931037903,0.2950556874275207,26.481632232666016,0.1556425988674163,19.47576904296875,86.87954711914062,9457.1875,219.88993464052288,167.57601233995416,5.834462151394423
临湘市,2014,4,0.5013472437858582,0.311211496591568,23.63123893737793,0.1533837020397186,17.66634750366211,2454.126953125,7822.4111328125,219.88993464052288,167.57601233995416,5.895629820051414
临湘市,2014,5,0.5580838322639465,0.3225020468235016,27.067676544189453,0.1582388281822204,21.40332794189453,4078.8642578125,9996.048828125,219.88993464052288,167.57601233995416,5.895629820051414
临湘市,2014,6,0.6186891794204712,0.4188682436943054,28.41159439086914,0.1635209619998932,25.122766494750977,2412.341796875,9323.6103515625,219.88993464052288,167.57601233995416,5.895629820051414
临湘市,2014,7,0.7143107652664185,0.5081025958061218,31.32459259033203,0.166066899895668,27.126575469970703,4819.48583984375,9679.169921875,219.88993464052288,167.57601233995416,5.895629820051414
临湘市,2014,8,0.7044662237167358,0.4798540771007538,28.530229568481445,0.161243200302124,25.82432746887207,2783.970458984375,9074.8203125,219.88993464052288,167.57601233995416,5.895629820051414
临湘市,2014,9,0.6125141978263855,0.384545236825943,28.37368392944336,0.1663497239351272,23.8440170288086,1221.70751953125,7482.56884765625,219.88993464052288,167.57601233995416,5.895629820051414
临湘市,2014,10,0.5433338284492493,0.3138750195503235,26.10136985778809,0.1553128659725189,19.576824188232425,1727.2030029296875,9078.25390625,219.88993464052288,167.57601233995416,5.895629820051414
临湘市,2015,4,0.5074191689491272,0.2945013642311096,24.566335678100582,0.1665517091751098,16.883201599121094,3602.836669921875,8743.140625,219.88993464052288,167.57601233995416,5.923714397957179
临湘市,2015,5,0.5844513177871704,0.3844424784183502,26.126123428344727,0.1761910766363144,22.21543884277344,3344.521484375,8395.0625,219.88993464052288,167.57601233995416,5.923714397957179
临湘市,2015,6,0.651162326335907,0.4372157156467438,28.088972091674805,0.1726163327693939,25.28085327148437,4737.29541015625,8758.5966796875,219.88993464052288,167.57601233995416,5.923714397957179
临湘市,2015,7,0.6943773627281189,0.4724718928337097,29.394758224487305,0.1874362081289291,25.85244369506836,1730.95703125,9982.375,219.88993464052288,167.57601233995416,5.923714397957179
临湘市,2015,8,0.6977013349533081,0.4770562052726745,30.35639953613281,0.188301220536232,26.92352867126465,1441.6630859375,11174.443359375,219.88993464052288,167.57601233995416,5.923714397957179
临湘市,2015,9,0.6243650913238525,0.3855924606323242,28.049501419067383,0.1770025640726089,23.776609420776367,1265.841796875,8792.44921875,219.88993464052288,167.57601233995416,5.923714397957179
临湘市,2015,10,0.5577445030212402,0.3171349167823791,26.375778198242188,0.1668347269296646,19.02598571777344,1146.2376708984375,8183.1220703125,219.88993464052288,167.57601233995416,5.923714397957179
临湘市,2016,4,0.6053335601514577,0.37950490378175006,24.688366967442818,0.14047524860322128,18.384014129638672,3875.445556640625,7752.04345703125,219.88993464052288,167.57601233995416,5.821130177514792
临湘市,2016,5,0.6601409394466611,0.4580001865989933,26.923862618331384,0.15487680177823876,20.578819274902344,3153.754150390625,8668.576171875,219.88993464052288,167.57601233995416,5.821130177514792
临湘市,2016,6,0.6818575712302577,0.4807301948716376,28.77778985686462,0.14914654477566514,25.042619705200195,3411.34228515625,9720.341796875,219.88993464052288,167.57601233995416,5.821130177514792
临湘市,2016,7,0.7271788456836643,0.47602887575332564,30.822911105001474,0.15410725709536285,28.23900604248047,6326.78271484375,10354.7763671875,219.88993464052288,167.57601233995416,5.821130177514792
临湘市,2016,8,0.7484917954938771,0.4686046645134327,30.154792907196224,0.15316181216819086,28.34730529785156,1628.3095703125,11103.1015625,219.88993464052288,167.57601233995416,5.821130177514792
临湘市,2016,9,0.6818836131258588,0.40790988468231604,28.224126401507213,0.14940763103195576,24.513614654541016,1062.178466796875,9375.83984375,219.88993464052288,167.57601233995416,5.821130177514792
临湘市,2016,10,0.4111703336015189,0.21218067836481475,21.8105505311736,0.1340411354405845,18.12373161315918,1297.01953125,4649.6142578125,219.88993464052288,167.57601233995416,5.821130177514792
临湘市,2017,4,0.5516412854194641,0.3304210007190704,25.70294761657715,0.1792718023061752,17.520904541015625,2914.84521484375,9022.564453125,219.88993464052288,167.57601233995416,6.399967590618337
临湘市,2017,5,0.603199303150177,0.3772666454315185,28.59088516235352,0.1820780336856842,22.034629821777344,2964.76708984375,11382.275390625,219.88993464052288,167.57601233995416,6.399967590618337
临湘市,2017,6,0.6671658754348755,0.4172202944755554,28.992706298828125,0.179749310016632,24.082408905029297,5068.21337890625,7909.884765625,219.88993464052288,167.57601233995416,6.399967590618337
临湘市,2017,7,0.7119912505149841,0.4544174075126648,31.74274635314941,0.1858253926038742,29.379005432128903,2067.38427734375,12134.142578125,219.88993464052288,167.57601233995416,6.399967590618337
