county,year,split,单产,city,county_train_yield_mean,county_train_yield_median,county_train_yield_std,county_train_yield_count,city_train_yield_mean,city_train_yield_median,city_train_yield_std,city_train_yield_count,train_year_yield_mean,train_year_yield_std,county_vs_city_train_yield_mean
临湘市,2012,val,5.955323383084577,岳阳市,5.821130177514792,5.821130177514792,6.514234750159986,1,6.246953775679741,6.177177653882163,0.35078381562379407,46,6.086036913002932,0.4502613723398215,-0.42582359816494897
临湘市,2013,val,5.834462151394423,岳阳市,5.821130177514792,5.821130177514792,6.514234750159986,1,6.246953775679741,6.177177653882163,0.35078381562379407,46,6.119090381396531,0.7059045473608287,-0.42582359816494897
临湘市,2014,val,5.895629820051414,岳阳市,5.821130177514792,5.821130177514792,6.514234750159986,1,6.246953775679741,6.177177653882163,0.35078381562379407,46,6.107212508684318,0.5803804712146549,-0.42582359816494897
临湘市,2015,test,5.923714397957179,岳阳市,5.821130177514792,5.821130177514792,6.514234750159986,1,6.246953775679741,6.177177653882163,0.35078381562379407,46,6.416045213660415,1.072020979691334,-0.42582359816494897
临湘市,2016,train,5.821130177514792,岳阳市,5.821130177514792,5.821130177514792,6.514234750159986,1,6.246953775679741,6.177177653882163,0.35078381562379407,46,6.3064721147441825,0.8712105806935805,-0.42582359816494897
临湘市,2017,test,6.399967590618337,岳阳市,5.821130177514792,5.821130177514792,6.514234750159986,1,6.246953775679741,6.177177653882163,0.35078381562379407,46,6.327430007526471,0.764401787671466,-0.42582359816494897
临湘市,2018,test,6.288230552196695,岳阳市,5.821130177514792,5.821130177514792,6.514234750159986,1,6.246953775679741,6.177177653882163,0.35078381562379407,46,7.221538572532166,0.9389707328235969,-0.42582359816494897
临湘市,2019,test,6.342708120269994,岳阳市,5.821130177514792,5.821130177514792,6.514234750159986,1,6.246953775679741,6.177177653882163,0.35078381562379407,46,6.926644802578423,0.848212665604444,-0.42582359816494897
临湘市,2020,val,6.379432624113475,岳阳市,5.821130177514792,5.821130177514792,6.514234750159986,1,6.246953775679741,6.177177653882163,0.35078381562379407,46,6.730935357890686,0.7081627342704553,-0.42582359816494897
临湘市,2021,test,6.556645657430531,岳阳市,5.821130177514792,5.821130177514792,6.514234750159986,1,6.246953775679741,6.177177653882163,0.35078381562379407,46,7.098739496826202,0.853627234377587,-0.42582359816494897
临澧县,2012,train,5.551878482833004,常德市,5.750940285073895,5.589086235105759,0.33925250024127407,6,6.109209013456845,6.10461732309118,0.5873004982652431,46,6.086036913002932,0.4502613723398215,-0.3582687283829502
临澧县,2013,train,5.4851699463327375,常德市,5.750940285073895,5.589086235105759,0.33925250024127407,6,6.109209013456845,6.10461732309118,0.5873004982652431,46,6.119090381396531,0.7059045473608287,-0.3582687283829502
临澧县,2014,train,5.565833184497231,常德市,5.750940285073895,5.589086235105759,0.33925250024127407,6,6.109209013456845,6.10461732309118,0.5873004982652431,46,6.107212508684318,0.5803804712146549,-0.3582687283829502
临澧县,2015,train,5.6123392857142855,常德市,5.750940285073895,5.589086235105759,0.33925250024127407,6,6.109209013456845,6.10461732309118,0.5873004982652431,46,6.416045213660415,1.072020979691334,-0.3582687283829502
临澧县,2016,train,5.920678571428572,常德市,5.750940285073895,5.589086235105759,0.33925250024127407,6,6.109209013456845,6.10461732309118,0.5873004982652431,46,6.3064721147441825,0.8712105806935805,-0.3582687283829502
临澧县,2017,test,6.047108152674763,常德市,5.750940285073895,5.589086235105759,0.33925250024127407,6,6.109209013456845,6.10461732309118,0.5873004982652431,46,6.327430007526471,0.764401787671466,-0.3582687283829502
临澧县,2018,test,6.372839587547324,常德市,5.750940285073895,5.589086235105759,0.33925250024127407,6,6.109209013456845,6.10461732309118,0.5873004982652431,46,7.221538572532166,0.9389707328235969,-0.3582687283829502
临澧县,2019,test,6.488564854841658,常德市,5.750940285073895,5.589086235105759,0.33925250024127407,6,6.109209013456845,6.10461732309118,0.5873004982652431,46,6.926644802578423,0.848212665604444,-0.3582687283829502
临澧县,2020,val,6.193361582496384,常德市,5.750940285073895,5.589086235105759,0.33925250024127407,6,6.109209013456845,6.10461732309118,0.5873004982652431,46,6.730935357890686,0.7081627342704553,-0.3582687283829502
临澧县,2021,train,6.369742239637544,常德市,5.750940285073895,5.589086235105759,0.33925250024127407,6,6.109209013456845,6.10461732309118,0.5873004982652431,46,7.098739496826202,0.853627234377587,-0.3582687283829502
云溪区,2012,train,6.915584415584416,岳阳市,6.938054712356217,6.915584415584416,0.2798011174765792,5,6.246953775679741,6.177177653882163,0.35078381562379407,46,6.086036913002932,0.4502613723398215,0.6911009366764755
云溪区,2013,train,6.609090909090909,岳阳市,6.938054712356217,6.915584415584416,0.2798011174765792,5,6.246953775679741,6.177177653882163,0.35078381562379407,46,6.119090381396531,0.7059045473608287,0.6911009366764755
